,casscf,d,hf,z1,z2
0,-189.4021673225003,0.6,-189.2736789900003,2.0,12.0
1,-190.17827138678598,0.7,-190.048721654286,2.0,12.0
2,-190.62029079750025,0.8,-190.49477406000025,2.0,12.0
3,-190.85323649083352,0.9,-190.73172739333353,2.0,12.0
4,-190.96995590000017,1.0,-190.85115870000018,2.0,12.0
5,-191.02297153295473,1.1,-190.9051658354547,2.0,12.0
6,-191.04074576000016,1.2,-190.92222087000016,2.0,12.0
7,-191.04079618942325,1.3,-190.92026222692323,2.0,12.0
8,-191.03506361714298,1.4,-190.911621857143,2.0,12.0
9,-191.03031942750013,1.5,-190.90339918000012,2.0,12.0
10,-191.0284054000001,1.6,-190.8977254500001,2.0,12.0
11,-191.02805912691184,1.7,-190.89357426941186,2.0,12.0
12,-191.0272374541668,1.8,-190.88904936666677,2.0,12.0
13,-191.02460308263167,1.9,-190.8828632926317,2.0,12.0
14,-191.0240395725001,2.0,-190.8747392200001,2.0,12.0
15,-191.02084568892866,2.1,-190.86513194142867,2.0,12.0
16,-191.01667206522737,2.2,-190.85477175272734,2.0,12.0
17,-191.01256395663052,2.3,-190.84434272913052,2.0,12.0
18,-191.0091543950001,2.4,-190.83435934000008,2.0,12.0
19,-191.0029282059616,2.6,-190.8169774284616,2.0,12.0
20,-190.99940172027783,2.7,-190.80990374777784,2.0,12.0
21,-190.9954929885715,2.8,-190.8039755885715,2.0,12.0
22,-190.99127561784488,2.9,-190.7991548303449,2.0,12.0
23,-190.98689192000003,3.0,-190.79535011000004,2.0,12.0
24,-190.98252460564524,3.1,-190.79243441064523,2.0,12.0
25,-190.97836595000007,3.2,-190.79026338000006,2.0,12.0
26,-190.96854556535718,3.5,-190.78682304285718,2.0,12.0
27,-190.96460445358113,3.7,-190.78598153108112,2.0,12.0
28,-190.96329636131583,3.8,-190.78576945631585,2.0,12.0
29,-190.96233361980774,3.9,-190.78563725230774,2.0,12.0
30,-190.96164471250006,4.0,-190.78555664000004,2.0,12.0
31,-190.96084027571433,4.2,-190.7854804357143,2.0,12.0
32,-190.96062573930237,4.3,-190.78546435930235,2.0,12.0
33,-190.96048758386365,4.4,-190.7854553663637,2.0,12.0
34,-190.96040073416668,4.5,-190.7854504566667,2.0,12.0
35,-190.96034741456526,4.6,-190.78544785956527,2.0,12.0
36,-190.9603154328192,4.7,-190.7854465453192,2.0,12.0
37,-190.96029671000002,4.8,-190.78544594000005,2.0,12.0
38,-190.9602860141837,4.9,-190.78544569918373,2.0,12.0
39,-190.96028008500005,5.0,-190.78544567000003,2.0,12.0
40,-183.19926199333366,0.6,-182.97995166333365,2.2,11.8
41,-184.058795544286,0.7,-183.851193634286,2.2,11.8
42,-184.54643235000023,0.8,-184.35546154000025,2.2,11.8
43,-184.80696154888912,0.9,-184.62928499888912,2.2,11.8
44,-184.9438196400002,1.0,-184.7726505000002,2.2,11.8
45,-185.0143737700002,1.1,-184.84260732000018,2.2,11.8
46,-185.04937424666684,1.2,-184.87086519666684,2.2,11.8
47,-185.0672967315386,1.3,-184.87721174153862,2.2,11.8
48,-185.080017617143,1.4,-184.874835667143,2.2,11.8
49,-185.09382004333347,1.5,-184.87122745333346,2.2,11.8
50,-185.11002016000015,1.6,-184.86880622000012,2.2,11.8
51,-185.12694862764715,1.7,-184.86683894764715,2.2,11.8
52,-185.14228703444456,1.8,-184.86369777444455,2.2,11.8
53,-185.15449149526324,1.9,-184.85829479526325,2.2,11.8
54,-185.1630953000001,2.0,-184.85047293000008,2.2,11.8
55,-185.16836600809535,2.1,-184.84074590809533,2.2,11.8
56,-185.17087531000007,2.2,-184.8298738400001,2.2,11.8
57,-185.17110372782616,2.3,-184.81856987782618,2.2,11.8
58,-185.1694823433334,2.4,-184.80739298333341,2.2,11.8
59,-185.16633878000007,2.5,-184.79675196000008,2.2,11.8
60,-185.1619602707693,2.6,-184.7869390307693,2.2,11.8
61,-185.15663244629636,2.7,-184.77815430629636,2.2,11.8
62,-185.15065853857152,2.8,-184.77051689857151,2.2,11.8
63,-185.1443607706897,2.9,-184.76407087068972,2.2,11.8
64,-185.13806611666672,3.0,-184.75879257666674,2.2,11.8
65,-185.1320792680646,3.1,-184.75460218806458,2.2,11.8
66,-185.12664988000006,3.2,-184.75137841000006,2.2,11.8
67,-185.1219453633334,3.3,-184.7489750333334,2.2,11.8
68,-185.1180394788236,3.4,-184.7472371488236,2.2,11.8
69,-185.11492045285718,3.5,-184.7460155328572,2.2,11.8
70,-185.1125135322223,3.6,-184.74517740222228,2.2,11.8
71,-185.11070881270277,3.7,-184.74461280270276,2.2,11.8
72,-185.10938593263162,3.8,-184.74423609263164,2.2,11.8
73,-185.10843136051287,3.9,-184.7439841205129,2.2,11.8
74,-185.10774782000007,4.0,-184.74381245000006,2.2,11.8
75,-185.10725745195126,4.1,-184.74369102195126,2.2,11.8
76,-185.10690117904767,4.2,-184.74360019904765,2.2,11.8
77,-185.1066360013954,4.3,-184.7435275513954,2.2,11.8
78,-185.10643172000005,4.4,-184.74346546000007,2.2,11.8
79,-185.10626775777783,4.5,-184.74340938777783,2.2,11.8
80,-185.10613045391307,4.6,-184.74335672391308,2.2,11.8
81,-185.10601096617026,4.7,-184.74330601617027,2.2,11.8
82,-185.1059036566667,4.8,-184.7432565066667,2.2,11.8
83,-185.10580499918373,4.9,-184.7432077891837,2.2,11.8
84,-185.10571278000003,5.0,-184.74315973000003,2.2,11.8
85,-177.11808185000035,0.6,-177.05195849000037,2.4000000000000004,11.6
86,-178.06314797857172,0.7,-177.99579830857172,2.4000000000000004,11.6
87,-178.59733280000026,0.8,-178.52869655000026,2.4000000000000004,11.6
88,-178.88349433666693,0.9,-178.81399776666692,2.4000000000000004,11.6
89,-179.0345362200002,1.0,-178.9647550900002,2.4000000000000004,11.6
90,-179.11395788272748,1.1,-179.04477788272746,2.4000000000000004,11.6
91,-179.15583477000018,1.2,-179.0882358200002,2.4000000000000004,11.6
92,-179.1797396692309,1.3,-179.11406281923092,2.4000000000000004,11.6
93,-179.19777764428588,1.4,-179.13395541428588,2.4000000000000004,11.6
94,-179.21617082000014,1.5,-179.15407517000014,2.4000000000000004,11.6
95,-179.23619274000015,1.6,-179.17569882000015,2.4000000000000004,11.6
96,-179.25624287411776,1.7,-179.19720545411778,2.4000000000000004,11.6
97,-179.27413747333344,1.8,-179.21638771333343,2.4000000000000004,11.6
98,-179.28845925105276,1.9,-179.23182736105275,2.4000000000000004,11.6
99,-179.29881373000012,2.0,-179.24315343000012,2.4000000000000004,11.6
100,-179.30548060285724,2.1,-179.25067772285723,2.4000000000000004,11.6
101,-179.30897493636374,2.2,-179.25493944636372,2.4000000000000004,11.6
102,-179.3097790773914,2.3,-179.25642976739138,2.4000000000000004,11.6
103,-179.3082644300001,2.4,-179.2555140000001,2.4000000000000004,11.6
104,-179.30471651000008,2.5,-179.25246047000007,2.4000000000000004,11.6
105,-179.29938601461546,2.6,-179.24749553461547,2.4000000000000004,11.6
106,-179.2925307622223,2.7,-179.2408493222223,2.4000000000000004,11.6
107,-179.28444286714293,2.8,-179.23278658714293,2.4000000000000004,11.6
108,-179.27546334000007,2.9,-179.22362482000008,2.4000000000000004,11.6
109,-179.26598394000007,3.0,-179.21373912000007,2.4000000000000004,11.6
110,-179.25643303354846,3.1,-179.20355041354847,2.4000000000000004,11.6
111,-179.24724259000007,3.2,-179.19349570000008,2.4000000000000004,11.6
112,-179.23879895090914,3.3,-179.18398482090916,2.4000000000000004,11.6
113,-179.2313894870589,3.4,-179.17535441705888,2.4000000000000004,11.6
114,-179.22516520571435,3.5,-179.16783263571435,2.4000000000000004,11.6
115,-179.22013662666674,3.6,-179.16152435666675,2.4000000000000004,11.6
116,-179.21620306405413,3.7,-179.15641915405413,2.4000000000000004,11.6
117,-179.21319868052638,3.8,-179.15241637052637,2.4000000000000004,11.6
118,-179.21093616307698,3.9,-179.14935847307697,2.4000000000000004,11.6
119,-179.20923761000006,4.0,-179.14706406000005,2.4000000000000004,11.6
120,-179.2079513317074,4.1,-179.1453549517074,2.4000000000000004,11.6
121,-179.20695744142864,4.2,-179.14407431142862,2.4000000000000004,11.6
122,-179.20616650279075,4.3,-179.14309562279075,2.4000000000000004,11.6
123,-179.20551467818186,4.4,-179.14232373818186,2.4000000000000004,11.6
124,-179.20495799333338,4.5,-179.14169113333338,2.4000000000000004,11.6
125,-179.2044670186957,4.6,-179.1411519686957,2.4000000000000004,11.6
126,-179.20402246617027,4.7,-179.14067620617027,2.4000000000000004,11.6
127,-179.20361192000004,4.8,-179.14024467000004,2.4000000000000004,11.6
128,-179.20322740265308,4.9,-179.13984528265308,2.4000000000000004,11.6
129,-179.20286382000003,5.0,-179.13947052000003,2.4000000000000004,11.6
130,-171.22868187500035,0.6,-171.20233127000037,2.6000000000000005,11.399999999999999
131,-172.2604792221432,0.7,-172.22741571714317,2.6000000000000005,11.399999999999999
132,-172.8471936450003,0.8,-172.80085761000026,2.6000000000000005,11.399999999999999
133,-173.16637635166694,0.9,-173.10722675666693,2.6000000000000005,11.399999999999999
134,-173.33640056000024,1.0,-173.26751632000023,2.6000000000000005,11.399999999999999
135,-173.42423485363656,1.1,-173.34978332363656,2.6000000000000005,11.399999999999999
136,-173.46766857000017,1.2,-173.3926095100002,2.6000000000000005,11.399999999999999
137,-173.48946799000018,1.3,-173.41989328000017,2.6000000000000005,11.399999999999999
138,-173.5036844935716,1.4,-173.4447361485716,2.6000000000000005,11.399999999999999
139,-173.51725430500014,1.5,-173.47033730000015,2.6000000000000005,11.399999999999999
140,-173.53163628000016,1.6,-173.49688313000016,2.6000000000000005,11.399999999999999
141,-173.54560630382366,1.7,-173.52257461882365,2.6000000000000005,11.399999999999999
142,-173.55742757833343,1.8,-173.54526129333345,2.6000000000000005,11.399999999999999
143,-173.56604153000012,1.9,-173.56364106000012,2.6000000000000005,11.399999999999999
144,-173.57128425000013,2.0,-173.57743613000014,2.6000000000000005,11.399999999999999
145,-173.57356038571442,2.1,-173.58700145571441,2.6000000000000005,11.399999999999999
146,-173.57344089681828,2.2,-173.5928774018183,2.6000000000000005,11.399999999999999
147,-173.57142528282617,2.3,-173.59553292782618,2.6000000000000005,11.399999999999999
148,-173.5678814400001,2.4,-173.59530106000008,2.6000000000000005,11.399999999999999
149,-173.56307679000008,2.5,-173.5924124800001,2.6000000000000005,11.399999999999999
150,-173.55722512500012,2.6,-173.5870512300001,2.6000000000000005,11.399999999999999
151,-173.55051873555567,2.7,-173.57940166555565,2.6000000000000005,11.399999999999999
152,-173.54314480928582,2.8,-173.5696840342858,2.6000000000000005,11.399999999999999
153,-173.53529298327595,2.9,-173.55818138827593,2.6000000000000005,11.399999999999999
154,-173.52715740500008,3.0,-173.5452565500001,2.6000000000000005,11.399999999999999
155,-173.51893358709685,3.1,-173.53135343709684,2.6000000000000005,11.399999999999999
156,-173.5108107050001,3.2,-173.51697739000008,2.6000000000000005,11.399999999999999
157,-173.50296180454552,3.3,-173.5026544145455,2.6000000000000005,11.399999999999999
158,-173.49553481941183,3.4,-173.48887718941185,2.6000000000000005,11.399999999999999
159,-173.48864639642863,3.5,-173.47605231142865,2.6000000000000005,11.399999999999999
160,-173.48237914666674,3.6,-173.46446387666674,2.6000000000000005,11.399999999999999
161,-173.47678211013522,3.7,-173.4542619051352,2.6000000000000005,11.399999999999999
162,-173.47187420000006,3.8,-173.44547472000008,2.6000000000000005,11.399999999999999
163,-173.46765014500005,3.9,-173.43803689000003,2.6000000000000005,11.399999999999999
164,-173.46408736500007,4.0,-173.43182235000006,2.6000000000000005,11.399999999999999
165,-173.46115133987809,4.1,-173.4266746048781,2.6000000000000005,11.399999999999999
166,-173.4587967378572,4.2,-173.4224299228572,2.6000000000000005,11.399999999999999
167,-173.4569668934884,4.3,-173.4189325434884,2.6000000000000005,11.399999999999999
168,-173.4512684859091,4.4,-173.41604318090913,2.6000000000000005,11.399999999999999
169,-173.45039256333337,4.5,-173.4136424333334,2.6000000000000005,11.399999999999999
170,-173.4495925889131,4.6,-173.41163105391308,2.6000000000000005,11.399999999999999
171,-173.44885262531918,4.7,-173.40992831531918,2.6000000000000005,11.399999999999999
172,-173.44816104000006,4.8,-173.40846961000005,2.6000000000000005,11.399999999999999
173,-173.44750945959186,4.9,-173.40720375959188,2.6000000000000005,11.399999999999999
174,-173.44689188000007,5.0,-173.40609055000004,2.6000000000000005,11.399999999999999
175,-165.67377116333375,0.6,-165.60227414333372,2.8000000000000007,11.2
176,-166.77019299000034,0.7,-166.69934838000034,2.8000000000000007,11.2
177,-167.38348853000028,0.8,-167.3083658900003,2.8000000000000007,11.2
178,-167.71628332888915,0.9,-167.63422091888916,2.8000000000000007,11.2
179,-167.89518422000023,1.0,-167.80474539000022,2.8000000000000007,11.2
180,-167.9900007427275,1.1,-167.8913101127275,2.8000000000000007,11.2
181,-168.03920983666686,1.2,-167.93422659666686,2.8000000000000007,11.2
182,-168.06548570384632,1.3,-167.95777042384634,2.8000000000000007,11.2
183,-168.08270705000015,1.4,-167.97676737000018,2.8000000000000007,11.2
184,-168.09838733333348,1.5,-167.9988255133335,2.8000000000000007,11.2
185,-168.11502348000013,1.6,-168.02563707000016,2.8000000000000007,11.2
186,-168.13199045176484,1.7,-168.05436925176485,2.8000000000000007,11.2
187,-168.14758894444455,1.8,-168.08046112444455,2.8000000000000007,11.2
188,-168.16045418210538,1.9,-168.1019021221054,2.8000000000000007,11.2
189,-168.17003868000012,2.0,-168.11836976000012,2.8000000000000007,11.2
190,-168.17640527666677,2.1,-168.1302456766668,2.8000000000000007,11.2
191,-168.17983715636373,2.2,-168.13808683636373,2.8000000000000007,11.2
192,-168.18059178913052,2.3,-168.14236516913053,2.8000000000000007,11.2
193,-168.17883271333343,2.4,-168.14340799333343,2.8000000000000007,11.2
194,-168.1746526400001,2.5,-168.14143206000008,2.8000000000000007,11.2
195,-168.16811715692316,2.6,-168.13659673692317,2.8000000000000007,11.2
196,-168.1593027162964,2.7,-168.12904907629638,2.8000000000000007,11.2
197,-168.14832836000008,2.8,-168.1189607700001,2.8000000000000007,11.2
198,-168.13538452551734,2.9,-168.10656077551732,2.8000000000000007,11.2
199,-168.12075686666674,3.0,-168.09216264666674,2.8000000000000007,11.2
200,-168.10483813870977,3.1,-168.07618052870976,2.8000000000000007,11.2
201,-168.08811994000007,3.2,-168.05912610000007,2.8000000000000007,11.2
202,-168.0711590042425,3.3,-168.0415813442425,2.8000000000000007,11.2
203,-168.05452109588242,3.4,-168.02414849588243,2.8000000000000007,11.2
204,-168.03871501000006,3.5,-168.00738705000006,2.8000000000000007,11.2
205,-168.02413617222228,3.6,-167.99175476222229,2.8000000000000007,11.2
206,-168.01103588594603,3.7,-167.97756923594602,2.8000000000000007,11.2
207,-167.9995213610527,3.8,-167.9649983610527,2.8000000000000007,11.2
208,-167.9895795712821,3.9,-167.9540765912821,2.8000000000000007,11.2
209,-167.98111234000007,4.0,-167.94473647000007,2.8000000000000007,11.2
210,-167.97397141146348,4.1,-167.93684424146346,2.8000000000000007,11.2
211,-167.96798697333338,4.2,-167.93023144333338,2.8000000000000007,11.2
212,-167.9629874934884,4.3,-167.9247189034884,2.8000000000000007,11.2
213,-167.95881201818187,4.4,-167.92013274818189,2.8000000000000007,11.2
214,-167.95531634777782,4.5,-167.91631377777782,2.8000000000000007,11.2
215,-167.95237547956526,4.6,-167.91312185956525,2.8000000000000007,11.2
216,-167.94988357361706,4.7,-167.91043726361707,2.8000000000000007,11.2
217,-167.94775264666671,4.8,-167.9081598466667,2.8000000000000007,11.2
218,-167.94591060000005,4.9,-167.90620736000005,2.8000000000000007,11.2
219,-167.94429912000007,5.0,-167.90451319000005,2.8000000000000007,11.2
220,-160.2676820850004,0.6,-160.2557448000004,3.000000000000001,11.0
221,-161.42111546214323,0.7,-161.41253548714323,3.000000000000001,11.0
222,-162.0646916950003,0.8,-162.0524031100003,3.000000000000001,11.0
223,-162.4155271833336,0.9,-162.3961585233336,3.000000000000001,11.0
224,-162.61367156000026,1.0,-162.57724852000024,3.000000000000001,11.0
225,-162.72033763500025,1.1,-162.66991214000024,3.000000000000001,11.0
226,-162.7764539100002,1.2,-162.71613046000022,3.000000000000001,11.0
227,-162.8062902557694,1.3,-162.74091498076942,3.000000000000001,11.0
228,-162.8245185485716,1.4,-162.7592108985716,3.000000000000001,11.0
229,-162.83907695500017,1.5,-162.77856640000016,3.000000000000001,11.0
230,-162.85296385500016,1.6,-162.80083185000015,3.000000000000001,11.0
231,-162.8663188229413,1.7,-162.82447178294132,3.000000000000001,11.0
