#method z1 z2 distance energy
HF 7.0 7.0 0.6 -106.33874683121
MP2 7.0 7.0 0.6 -106.66905355102
CCSD 7.0 7.0 0.6 -106.67892060468
HF 7.0 7.0 0.8 -108.51599882184
MP2 7.0 7.0 0.8 -108.86124685978
CCSD 7.0 7.0 0.8 -108.86922177728
HF 7.0 7.0 1.0 -108.97730488678
MP2 7.0 7.0 1.0 -109.35567663030
CCSD 7.0 7.0 1.0 -109.35622647028
HF 7.0 7.0 1.2 -108.94722408834
MP2 7.0 7.0 1.2 -109.37929728923
CCSD 7.0 7.0 1.2 -109.36188243819
HF 7.0 7.0 1.4 -108.79405737222
MP2 7.0 7.0 1.4 -109.30506002187
CCSD 7.0 7.0 1.4 -109.25215047200
HF 7.0 7.0 1.6 -108.63026371949
MP2 7.0 7.0 1.6 -109.24778810649
CCSD 7.0 7.0 1.6 -109.13630721645
HF 7.0 7.0 1.8 -108.48643656123
MP2 7.0 7.0 1.8 -109.23668305168
CCSD 7.0 7.0 1.8 -109.04365833927
HF 7.0 7.0 2.4 -108.19365390446
MP2 7.0 7.0 2.4 -109.46113309626
HF 7.0 7.0 2.6 -108.13137014038
MP2 7.0 7.0 2.6 -109.59897404784
HF 7.0 7.0 2.8 -108.08113136854
MP2 7.0 7.0 2.8 -109.75815485799
CCSD 7.0 7.0 2.8 -109.02711038447
HF 7.0 7.0 3.0 -108.04036234190
MP2 7.0 7.0 3.0 -109.93411536181
CCSD 7.0 7.0 3.0 -109.03745195908
HF 7.0 7.0 3.2 -108.00702961906
MP2 7.0 7.0 3.2 -110.12319076811
CCSD 7.0 7.0 3.2 -109.04405710341
HF 7.0 7.0 3.4 -107.97954625258
MP2 7.0 7.0 3.4 -110.32243398311
HF 7.0 7.0 3.6 -107.95667734443
MP2 7.0 7.0 3.6 -110.52947782429
HF 7.0 7.0 3.8 -107.93746596480
MP2 7.0 7.0 3.8 -110.74242968364
HF 7.0 7.0 4.0 -107.92117267587
MP2 7.0 7.0 4.0 -110.95977617716
HF 7.0 7.0 4.4 -107.89517364971
MP2 7.0 7.0 4.4 -111.40304010328
HF 7.0 7.0 4.6 -107.88466850733
MP2 7.0 7.0 4.6 -111.62722590260
HF 7.0 7.0 4.8 -107.87543092811
MP2 7.0 7.0 4.8 -111.85228021098
HF 7.0 7.0 5.0 -107.86724062983
MP2 7.0 7.0 5.0 -112.07777611562
HF 7.0 7.0 5.2 -107.85992247020
MP2 7.0 7.0 5.2 -112.30341158190
HF 7.0 7.0 5.4 -107.85333642656
MP2 7.0 7.0 5.4 -112.52898329671
HF 7.0 7.0 5.6 -107.84736974945
MP2 7.0 7.0 5.6 -112.75436491357
HF 7.0 7.0 5.8 -107.84193095773
MP2 7.0 7.0 5.8 -112.97948960001
HF 7.0 7.0 6.0 -107.83694531830
MP2 7.0 7.0 6.0 -113.20433550039
HF 7.0 7.0 6.2 -107.83235144943
MP2 7.0 7.0 6.2 -113.42891287445
CCSD 7.0 7.0 6.2 -109.06183436522
HF 7.0 7.0 6.4 -107.82809872795
MP2 7.0 7.0 6.4 -113.65325254393
CCSD 7.0 7.0 6.4 -109.06209918281
HF 7.0 7.0 6.6 -107.82414525302
MP2 7.0 7.0 6.6 -113.87739601162
HF 7.0 7.0 6.8 -107.82045620023
MP2 7.0 7.0 6.8 -114.10138780612
HF 7.0 7.0 7.0 -107.81700246795
MP2 7.0 7.0 7.0 -114.32527033451
HF 7.0 7.0 7.2 -107.81375956268
MP2 7.0 7.0 7.2 -114.54908108698
HF 7.0 7.0 7.4 -107.81070669173
MP2 7.0 7.0 7.4 -114.77285168903
HF 7.0 7.0 7.6 -107.80782603781
MP2 7.0 7.0 7.6 -114.99660814951
HF 7.0 7.0 7.8 -107.80510218968
MP2 7.0 7.0 7.8 -115.22037169465
HF 7.0 7.0 8.0 -107.80252170138
MP2 7.0 7.0 8.0 -115.44415973438
HF 7.0 7.0 8.2 -107.80007275299
MP2 7.0 7.0 8.2 -115.66798669541
HF 7.0 7.0 8.4 -107.79774488854
MP2 7.0 7.0 8.4 -115.89186461820
HF 7.0 7.0 8.6 -107.79552881078
MP2 7.0 7.0 8.6 -116.11580352468
HF 7.0 7.0 8.8 -107.79341621715
MP2 7.0 7.0 8.8 -116.33981161914
HF 7.0 7.0 9.0 -107.79139966564
MP2 7.0 7.0 9.0 -116.56389539786
HF 7.0 7.0 9.2 -107.78947246275
MP2 7.0 7.0 9.2 -116.78805973147
HF 7.0 7.0 9.4 -107.78762856849
MP2 7.0 7.0 9.4 -117.01230796090
HF 7.0 7.0 9.6 -107.78586251478
MP2 7.0 7.0 9.6 -117.23664202672
HF 7.0 7.0 9.8 -107.78416933537
MP2 7.0 7.0 9.8 -117.46106263241
HF 7.0 7.0 10.0 -107.78254450521
MP2 7.0 7.0 10.0 -117.68556943263
HF 6.9 7.1 0.6 -106.37610999816
MP2 6.9 7.1 0.6 -106.70638911845
CCSD 6.9 7.1 0.6 -106.71625521845
HF 6.9 7.1 0.8 -108.55333842819
MP2 6.9 7.1 0.8 -108.89852288432
CCSD 6.9 7.1 0.8 -108.90650388368
HF 6.9 7.1 1.0 -109.01501783350
MP2 6.9 7.1 1.0 -109.39320388805
CCSD 6.9 7.1 1.0 -109.39379551381
HF 6.9 7.1 1.2 -108.98541010292
MP2 6.9 7.1 1.2 -109.41699377218
CCSD 6.9 7.1 1.2 -109.39974782114
HF 6.9 7.1 1.4 -108.83269927744
MP2 6.9 7.1 1.4 -109.34256734116
CCSD 6.9 7.1 1.4 -109.29018124751
HF 6.9 7.1 1.6 -108.66935149117
MP2 6.9 7.1 1.6 -109.28403577805
CCSD 6.9 7.1 1.6 -109.17428310175
HF 6.9 7.1 1.8 -108.52735918962
MP2 6.9 7.1 1.8 -109.22591525343
CCSD 6.9 7.1 1.8 -109.08086256489
HF 6.9 7.1 2.6 -108.34683575266
MP2 6.9 7.1 2.6 -108.77083033018
CCSD 6.9 7.1 2.6 -108.73359989637
HF 6.9 7.1 2.8 -108.33128021055
MP2 6.9 7.1 2.8 -108.75646185766
CCSD 6.9 7.1 2.8 -108.72607828317
HF 6.9 7.1 3.4 -108.01917332990
MP2 6.9 7.1 3.4 -110.35172131622
HF 6.9 7.1 3.6 -107.99632458489
MP2 6.9 7.1 3.6 -110.55768206097
HF 6.9 7.1 4.0 -108.28358776362
MP2 6.9 7.1 4.0 -108.76608809237
CCSD 6.9 7.1 4.0 -108.68374643752
HF 6.9 7.1 4.2 -108.27932711340
MP2 6.9 7.1 4.2 -108.77452031249
CCSD 6.9 7.1 4.2 -108.67959051303
HF 6.9 7.1 4.8 -108.26930508799
MP2 6.9 7.1 4.8 -108.80413038252
CCSD 6.9 7.1 4.8 -108.67011348964
HF 6.9 7.1 5.0 -107.90695945755
MP2 6.9 7.1 5.0 -112.09849450773
HF 6.9 7.1 5.2 -107.89964701654
MP2 6.9 7.1 5.2 -112.32307999378
HF 6.9 7.1 5.4 -108.19670275757
MP2 6.9 7.1 5.4 -109.19714929441
HF 6.9 7.1 5.8 -104.38101287435
MP2 6.9 7.1 5.8 -106.28776740569
HF 6.9 7.1 6.0 -108.25625224336
